"Body_mass_g","Longevity_d","Litter_size","Diet_breadth","Range_size_m2","Habitat_breadth_IUCN"
0.977204680415302,0.993209263040659,0.993700417396478,0.998749566278619,0.994942651593785,0.896782158631651
-83356.5939403741,-23325.2065652364,-4548.06208344882,2553.01255370807,-162232.069361062,-10847.8424218804
-84574.4345949639,-24950.4040053454,-6771.89390326279,444.308135500267,-163983.853074652,-11181.2382120071
0,0,0,0,0,4.98131688930348e-147
