Class,Trait,lambda,p-value,Phylogeny
Birds,Body mass,1.000382605,0,Original
Birds,Longevity,0.891147198,8.45E-240,Original
Birds,Litter/clutch size,0.923988114,0,Original
Birds,Diet breadth,0.485258248,2.73E-156,Original
Birds,Range size,0.657191615,0,Original
Birds,Habitat breadth,0.479008508,0,Original
Birds,Generation length,0.991388055,0,Original
Reptiles,Body mass,0.690538758,2.66E-104,Original
Reptiles,LongevitY,0.790957852,1.18E-101,Original
Reptiles,Litter size,0.760285922,3.49E-283,Original
Reptiles,Range size,0.561740625,7.52E-35,Original
Reptiles,Habitat breadth,0.406530285,1.10E-104,Original
Reptiles,Body length,0.999325885,0,Original
Reptiles,Maturity ,0.864878861,4.61E-47,Original
Mammals,Body mass,1.000446364,0,Original
Mammals,Longevity,0.967515288,0,Original
Mammals,Litter size,0.962055055,0,Original
Mammals,Diet breadth,0.989612475,0,Original
Mammals,Range size,0.980207459,0,Original
Mammals,Habitat  breadth,0.707036926,2.76E-179,Original
Mammals,Generation length,0.990038999,0,Original
Mammals,Body length,1.001411348,0,Original
Amphibians,Body mass,0.722173389,4.82E-18,Original
Amphibians,Longevity,0.490923073,2.38E-15,Original
Amphibians,Litter/clutch size,0.583043449,2.94E-56,Original
Amphibians,Diet breadth,0.516880267,7.60E-17,Original
Amphibians,Range size,0.622790451,9.21E-57,Original
Amphibians,Habitat breadth,0.800705224,5.17E-173,Original
Amphibians,Body length,0.958443602,0,Original

